id,S_i,L_i,D_i_comm,C_i,C_1i,C_2i,C_3i,C_4i
A1,0.86,0.4285714285714286,0.6666666666666667,0.88,1.0,1.0,1.0,0.39999999999999997
A2,0.9199999999999999,0.1428571428571429,0.4666666666666667,0.36,0.0,0.0,1.0,0.7999999999999999
A3,0.75,0.7142857142857143,0.8,0.6,1.0,1.0,0.0,0.0
A4,0.8,0.0,0.0,0.4,0.0,0.0,1.0,1.0
A5,0.72,0.4285714285714286,0.6000000000000001,0.88,1.0,1.0,1.0,0.39999999999999997
A6,0.78,0.1428571428571429,0.20000000000000007,0.36,0.0,0.0,1.0,0.7999999999999999
A7,0.6799999999999999,0.5714285714285714,0.7333333333333334,0.64,1.0,1.0,0.0,0.19999999999999998
A8,0.8300000000000001,0.4285714285714286,0.5333333333333334,0.88,1.0,1.0,1.0,0.39999999999999997
A9,0.7,0.5714285714285714,0.33333333333333337,0.8400000000000001,1.0,1.0,1.0,0.19999999999999998
A10,0.76,0.4285714285714286,0.6666666666666667,0.88,1.0,1.0,1.0,0.39999999999999997
