rank,id,P_i,S_i,L_i,D_i_comm,one_minus_C_i,tier
1,A3,0.687857142857143,0.75,0.7142857142857143,0.8,0.4,high
2,A7,0.6102857142857142,0.6799999999999999,0.5714285714285714,0.7333333333333334,0.36,high
3,A2,0.5725714285714285,0.9199999999999999,0.1428571428571429,0.4666666666666667,0.64,high
4,A1,0.5677142857142857,0.86,0.4285714285714286,0.6666666666666667,0.12,high
5,A10,0.5377142857142857,0.76,0.4285714285714286,0.6666666666666667,0.12,mid
6,A8,0.5187142857142858,0.8300000000000001,0.4285714285714286,0.5333333333333334,0.12,mid
7,A5,0.5057142857142858,0.72,0.4285714285714286,0.6000000000000001,0.12,mid
8,A9,0.45628571428571424,0.7,0.5714285714285714,0.33333333333333337,0.15999999999999992,low
9,A6,0.45057142857142857,0.78,0.1428571428571429,0.20000000000000007,0.64,low
10,A4,0.36,0.8,0.0,0.0,0.6,low
