pair,D_ij,Link_ij,feasible_one_day,combined_type
A2-A8,0.2,0.8333333333333334,False,主题+主题
A1-A10,0.2,0.8333333333333334,True,人文+人文
A3-A7,0.2,0.8333333333333334,True,休闲+自然
A1-A5,0.3,0.7692307692307692,True,人文+人文
A2-A10,0.3,0.7692307692307692,True,主题+人文
A1-A8,0.3,0.7692307692307692,True,人文+主题
A8-A10,0.3,0.7692307692307692,True,主题+人文
A4-A9,0.3,0.7692307692307692,False,自然+自然
A1-A2,0.4,0.7142857142857143,False,人文+主题
A5-A10,0.4,0.7142857142857143,True,人文+人文
A7-A10,0.4,0.7142857142857143,True,自然+人文
A4-A6,0.4,0.7142857142857143,False,自然+自然
A1-A7,0.5,0.6666666666666666,True,人文+自然
A2-A3,0.5,0.6666666666666666,True,主题+休闲
A3-A10,0.5,0.6666666666666666,True,休闲+人文
A5-A8,0.5,0.6666666666666666,True,人文+主题
A6-A9,0.5,0.6666666666666666,False,自然+自然
A8-A9,0.5,0.6666666666666666,True,主题+自然
