n_spots,rank_by_buffer,plan_id,R,P_fail,CI_95,n_fail,Z1,Z2,Z3,Z4,Z4_mean,selected,selected_by_day,buffers,Tks,P_fail_day1,P_fail_day2,P_fail_day3,P_fail_day4,P_fail_day5
5,1,S5_buffer_rank01,0.4074,0.5926,0.013619538920125013,2963,37.4,4.999999999999999,0.1599999999999993,3.6999999999999993,6.1,"A10,A3,A5,A7,A8","A10,A3,A5,A8,A7","4.5000,7.9000,7.3000,7.1000,3.7000","5.0000,4.6000,5.2000,5.4000,4.3000",0.1002,0.0284,0.0588,0.0756,0.4532
5,2,S5_buffer_rank02,0.4262,0.5738,0.01370749398027225,2869,37.4,4.999999999999999,0.1599999999999993,3.6999999999999993,6.1,"A10,A3,A5,A7,A8","A3,A5,A8,A10,A7","4.9000,7.3000,7.1000,7.5000,3.7000","4.6000,5.2000,5.4000,5.0000,4.3000",0.0746,0.0612,0.0752,0.0484,0.4452
5,3,S5_buffer_rank03,0.38639999999999997,0.6136,0.013496846340267788,3068,37.4,4.999999999999999,0.1599999999999993,3.6999999999999993,6.1,"A10,A3,A5,A7,A8","A8,A10,A5,A3,A7","4.1000,7.5000,7.3000,7.9000,3.7000","5.4000,5.0000,5.2000,4.6000,4.3000",0.202,0.0516,0.056,0.027,0.452
5,4,S5_buffer_rank04,0.41159999999999997,0.5884,0.01364096467486079,2942,37.4,4.999999999999999,0.1599999999999993,3.6999999999999993,6.1,"A10,A3,A5,A7,A8","A3,A5,A10,A8,A7","4.9000,7.3000,7.5000,7.1000,3.7000","4.6000,5.2000,5.0000,5.4000,4.3000",0.0784,0.0584,0.0494,0.0712,0.4574
5,5,S5_buffer_rank05,0.41679999999999995,0.5832,0.01366607129218928,2916,37.4,4.999999999999999,0.1599999999999993,3.6999999999999993,6.1,"A10,A3,A5,A7,A8","A3,A10,A5,A8,A7","4.9000,7.5000,7.3000,7.1000,3.7000","4.6000,5.0000,5.2000,5.4000,4.3000",0.074,0.0446,0.0614,0.0708,0.4532
5,6,S5_buffer_rank06,0.3788,0.6212,0.013445958852354115,3106,37.4,4.999999999999999,0.1599999999999993,3.6999999999999993,6.1,"A10,A3,A5,A7,A8","A8,A5,A10,A3,A7","4.1000,7.3000,7.5000,7.9000,3.7000","5.4000,5.2000,5.0000,4.6000,4.3000",0.205,0.0602,0.045,0.0268,0.456
5,7,S5_buffer_rank07,0.3772,0.6228,0.013434800234138206,3114,37.4,4.999999999999999,0.1599999999999993,3.6999999999999993,6.1,"A10,A3,A5,A7,A8","A8,A5,A3,A10,A7","4.1000,7.3000,7.9000,7.5000,3.7000","5.4000,5.2000,4.6000,5.0000,4.3000",0.2052,0.0582,0.0328,0.0526,0.4478
5,8,S5_buffer_rank08,0.4222,0.5778,0.013690488741137038,2889,37.4,4.999999999999999,0.1599999999999993,3.6999999999999993,6.1,"A10,A3,A5,A7,A8","A10,A8,A5,A3,A7","4.5000,7.1000,7.3000,7.9000,3.7000","5.0000,5.4000,5.2000,4.6000,4.3000",0.0992,0.0708,0.0578,0.029,0.449
5,9,S5_buffer_rank09,0.3438,0.6562,0.01316564432829628,3281,37.4,4.999999999999999,0.15999999999999973,3.6999999999999993,6.1,"A10,A3,A5,A7,A8","A5,A3,A10,A8,A7","4.3000,7.9000,7.5000,7.1000,3.7000","5.2000,4.6000,5.0000,5.4000,4.3000",0.2602,0.027,0.0456,0.0754,0.4548
5,10,S5_buffer_rank10,0.346,0.654,0.013185542191354892,3270,37.4,4.999999999999999,0.15999999999999973,3.6999999999999993,6.1,"A10,A3,A5,A7,A8","A5,A3,A8,A10,A7","4.3000,7.9000,7.1000,7.5000,3.7000","5.2000,4.6000,5.4000,5.0000,4.3000",0.2648,0.028,0.0692,0.0496,0.4476
