scenario,p_peak,p_off,plan,n_spots,R,P_fail,CI_95,n_fail,Z1,Z2,Z4,Z4_mean,selected,P_fail_day1,P_fail_day2,P_fail_day3,P_fail_day4,P_fail_day5
low,0.3,0.1,recommend,8,0.009199999999999986,0.9908,0.0018712981316722343,9908,62.99999999999999,7.800000000000001,0.5999999999999996,3.0399999999999996,"A1,A10,A2,A3,A5,A6,A7,A8",0.1873,0.1134,0.8379,0.2086,0.9145
low,0.3,0.1,balanced,8,0.009199999999999986,0.9908,0.0018712981316722343,9908,62.99999999999999,7.800000000000001,0.5999999999999996,3.0399999999999996,"A1,A10,A2,A3,A5,A6,A7,A8",0.1873,0.1134,0.8379,0.2086,0.9145
low,0.3,0.1,robust,8,0.025399999999999978,0.9746,0.003083799496465358,9746,62.199999999999996,7.2,2.1000000000000014,3.46,"A1,A10,A2,A3,A5,A7,A8,A9",0.7928,0.0547,0.216,0.7052,0.44
low,0.3,0.1,target90,5,0.9814,0.0186,0.0026481072497918207,186,37.699999999999996,4.6,4.199999999999999,6.68,"A3,A1,A5,A10,A7",0.001,0.0001,0.0001,0.0,0.0175
mid,0.45,0.2,recommend,8,0.0021999999999999797,0.9978,0.0009183096784854182,9978,62.99999999999999,7.800000000000001,0.5999999999999996,3.0399999999999996,"A1,A10,A2,A3,A5,A6,A7,A8",0.2849,0.1714,0.8911,0.3554,0.9509
mid,0.45,0.2,balanced,8,0.0021999999999999797,0.9978,0.0009183096784854182,9978,62.99999999999999,7.800000000000001,0.5999999999999996,3.0399999999999996,"A1,A10,A2,A3,A5,A6,A7,A8",0.2849,0.1714,0.8911,0.3554,0.9509
mid,0.45,0.2,robust,8,0.008099999999999996,0.9919,0.0017568412741053182,9919,62.199999999999996,7.2,2.1000000000000014,3.46,"A1,A10,A2,A3,A5,A7,A8,A9",0.8645,0.0743,0.3443,0.7908,0.5697
mid,0.45,0.2,target90,5,0.9665,0.0335,0.003526788403065883,335,37.699999999999996,4.6,4.199999999999999,6.68,"A3,A1,A5,A10,A7",0.0046,0.0001,0.0003,0.0,0.0285
strong,0.6,0.3,recommend,8,0.0004999999999999449,0.9995,0.0004381597425596958,9995,62.99999999999999,7.800000000000001,0.5999999999999996,3.0399999999999996,"A1,A10,A2,A3,A5,A6,A7,A8",0.3749,0.2201,0.9324,0.489,0.9758
strong,0.6,0.3,balanced,8,0.0004999999999999449,0.9995,0.0004381597425596958,9995,62.99999999999999,7.800000000000001,0.5999999999999996,3.0399999999999996,"A1,A10,A2,A3,A5,A6,A7,A8",0.3749,0.2201,0.9324,0.489,0.9758
strong,0.6,0.3,robust,8,0.0010999999999999899,0.9989,0.0006497008283817993,9989,62.199999999999996,7.2,2.1000000000000014,3.46,"A1,A10,A2,A3,A5,A7,A8,A9",0.9295,0.0893,0.4962,0.8732,0.6849
strong,0.6,0.3,target90,5,0.9458,0.0542,0.004437673739426998,542,37.699999999999996,4.6,4.199999999999999,6.68,"A3,A1,A5,A10,A7",0.0086,0.0006,0.0009,0.0004,0.0442
